test_collections/CACM/CACM.all
IdeDecHi
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.075, 0.6, 0.04371794871794872
2, 0.0, 0.0, 0.0
3, 0.0, 0.0, 0.0
4, 0.05, 0.16666666666666666, 0.01521164021164021
5, 0.025, 0.125, 0.0625
6, 0.075, 1.0, 0.11203703703703705
7, 0.0, 0.0, 0.0
8, 0.05, 0.6666666666666666, 0.08270676691729323
9, 0.15, 0.6666666666666666, 0.19853988603988604
10, 0.25, 0.2857142857142857, 0.15105677655677657
11, 0.275, 0.5789473684210527, 0.39096517517570145
12, 0.05, 0.4, 0.09743589743589744
13, 0.075, 0.2727272727272727, 0.105
14, 0.275, 0.25, 0.12276044662408298
15, 0.05, 0.2, 0.022285714285714287
16, 0.075, 0.17647058823529413, 0.07708573625528643
17, 0.1, 0.25, 0.02274715320910973
18, 0.1, 0.36363636363636365, 0.14393939393939392
19, 0.15, 0.5454545454545454, 0.1860306995318437
20, 0.05, 0.6666666666666666, 0.12222222222222223
21, 0.075, 0.2727272727272727, 0.025174659306537863
22, 0.075, 0.17647058823529413, 0.011527687998276234
23, 0.025, 0.25, 0.008620689655172414
24, 0.025, 0.07692307692307693, 0.019230769230769232
25, 0.375, 0.29411764705882354, 0.12067392074814837
26, 0.175, 0.23333333333333334, 0.052925368978000556
27, 0.275, 0.3793103448275862, 0.25970863320938287
28, 0.1, 0.8, 0.6166666666666666
29, 0.025, 0.05263157894736842, 0.003289473684210526
30, 0.025, 0.25, 0.0078125
31, 0.05, 1.0, 0.625
32, 0.05, 0.6666666666666666, 0.20370370370370372
33, 0.025, 1.0, 0.03571428571428571
34, 0.0, 0.0, 0.0
35, 0.0, 0.0, 0.0
36, 0.125, 0.25, 0.1125
37, 0.1, 0.3333333333333333, 0.1898819108964037
38, 0.25, 0.625, 0.18756101859784394
39, 0.175, 0.5833333333333334, 0.2419871794871795
40, 0.15, 0.6, 0.09189929748753278
41, 0.0, 0.0, 0.0
42, 0.125, 0.23809523809523808, 0.03253774061227477
43, 0.125, 0.12195121951219512, 0.012380005489572805
44, 0.05, 0.11764705882352941, 0.032679738562091505
45, 0.15, 0.23076923076923078, 0.057414300156235644
46, 0.0, 0.0, 0.0
47, 0.0, 0.0, 0.0
48, 0.0, 0.0, 0.0
49, 0.025, 0.125, 0.005681818181818182
50, 0.0, 0.0, 0.0
51, 0.0, 0.0, 0.0
52, 0.0, 0.0, 0.0
53, 0.0, 0.0, 0.0
54, 0.0, 0.0, 0.0
55, 0.0, 0.0, 0.0
56, 0.0, 0.0, 0.0
57, 0.025, 1.0, 1.0
58, 0.125, 0.16666666666666666, 0.06386514719848053
59, 0.35, 0.32558139534883723, 0.21316646038260265
60, 0.05, 0.07407407407407407, 0.027777777777777776
61, 0.225, 0.2903225806451613, 0.08315442277758658
62, 0.125, 0.625, 0.27258403361344535
63, 0.225, 0.75, 0.5649101307189542
64, 0.0, 0.0, 0.0
average, 0.08710937499999999, 0.29880580828400777, 0.11150424742179357
