test_collections/CACM/CACM.all
IdeReguler
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.025, 0.2, 0.008695652173913044
2, 0.0, 0.0, 0.0
3, 0.025, 0.16666666666666666, 0.004629629629629629
4, 0.05, 0.16666666666666666, 0.016826923076923076
5, 0.025, 0.125, 0.125
6, 0.05, 0.6666666666666666, 0.05411255411255411
7, 0.05, 0.07142857142857142, 0.005723443223443223
8, 0.05, 0.6666666666666666, 0.04524886877828055
9, 0.15, 0.6666666666666666, 0.5721247563352826
10, 0.15, 0.17142857142857143, 0.07143657462985194
11, 0.275, 0.5789473684210527, 0.39096517517570145
12, 0.075, 0.6, 0.2571428571428571
13, 0.075, 0.2727272727272727, 0.105
14, 0.2, 0.18181818181818182, 0.03710750034279447
15, 0.0, 0.0, 0.0
16, 0.05, 0.11764705882352941, 0.03594771241830066
17, 0.075, 0.1875, 0.012428977272727272
18, 0.075, 0.2727272727272727, 0.13388429752066114
19, 0.175, 0.6363636363636364, 0.3058601739816161
20, 0.05, 0.6666666666666666, 0.12222222222222223
21, 0.075, 0.2727272727272727, 0.025174659306537863
22, 0.075, 0.17647058823529413, 0.011303344867358707
23, 0.0, 0.0, 0.0
24, 0.025, 0.07692307692307693, 0.019230769230769232
25, 0.425, 0.3333333333333333, 0.14255152485242165
26, 0.175, 0.23333333333333334, 0.052925368978000556
27, 0.275, 0.3793103448275862, 0.25970863320938287
28, 0.1, 0.8, 0.6166666666666666
29, 0.025, 0.05263157894736842, 0.004048582995951417
30, 0.025, 0.25, 0.0078125
31, 0.05, 1.0, 0.6428571428571428
32, 0.05, 0.6666666666666666, 0.12037037037037036
33, 0.025, 1.0, 0.02857142857142857
34, 0.0, 0.0, 0.0
35, 0.0, 0.0, 0.0
36, 0.175, 0.35, 0.14422136422136422
37, 0.1, 0.3333333333333333, 0.18572984749455337
38, 0.25, 0.625, 0.1743148423037536
39, 0.175, 0.5833333333333334, 0.26535193564605325
40, 0.1, 0.4, 0.06503186882693524
41, 0.0, 0.0, 0.0
42, 0.025, 0.047619047619047616, 0.003663003663003663
43, 0.125, 0.12195121951219512, 0.010857300291375336
44, 0.075, 0.17647058823529413, 0.052941176470588235
45, 0.175, 0.2692307692307692, 0.06755309170467541
46, 0.0, 0.0, 0.0
47, 0.0, 0.0, 0.0
48, 0.0, 0.0, 0.0
49, 0.025, 0.125, 0.008333333333333333
50, 0.0, 0.0, 0.0
51, 0.0, 0.0, 0.0
52, 0.0, 0.0, 0.0
53, 0.0, 0.0, 0.0
54, 0.0, 0.0, 0.0
55, 0.0, 0.0, 0.0
56, 0.0, 0.0, 0.0
57, 0.025, 1.0, 1.0
58, 0.125, 0.16666666666666666, 0.038304473304473306
59, 0.4, 0.37209302325581395, 0.3006610861953845
60, 0.075, 0.1111111111111111, 0.02604938271604938
61, 0.225, 0.2903225806451613, 0.07523799459283331
62, 0.1, 0.5, 0.1939732142857143
63, 0.275, 0.9166666666666666, 0.6526760276760276
64, 0.0, 0.0, 0.0
average, 0.08437499999999999, 0.28196535106783455, 0.11719497269795168
