test_collections/CACM/CACM.all
Rocchio
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.05, 0.4, 0.02583333333333333
2, 0.0, 0.0, 0.0
3, 0.0, 0.0, 0.0
4, 0.05, 0.16666666666666666, 0.01752136752136752
5, 0.025, 0.125, 0.125
6, 0.075, 1.0, 0.1026284348864994
7, 0.0, 0.0, 0.0
8, 0.075, 1.0, 0.12222222222222222
9, 0.15, 0.6666666666666666, 0.15658638934501
10, 0.3, 0.34285714285714286, 0.16657031798119806
11, 0.275, 0.5789473684210527, 0.39096517517570145
12, 0.05, 0.4, 0.13076923076923078
13, 0.075, 0.2727272727272727, 0.105
14, 0.35, 0.3181818181818182, 0.18293267405109506
15, 0.05, 0.2, 0.028695652173913046
16, 0.075, 0.17647058823529413, 0.07904411764705882
17, 0.0, 0.0, 0.0
18, 0.1, 0.36363636363636365, 0.1489028213166144
19, 0.15, 0.5454545454545454, 0.2134882661198451
20, 0.05, 0.6666666666666666, 0.12222222222222223
21, 0.075, 0.2727272727272727, 0.025174659306537863
22, 0.075, 0.17647058823529413, 0.012667289137877373
23, 0.0, 0.0, 0.0
24, 0.025, 0.07692307692307693, 0.019230769230769232
25, 0.35, 0.27450980392156865, 0.10512346550750301
26, 0.175, 0.23333333333333334, 0.052925368978000556
27, 0.275, 0.3793103448275862, 0.25970863320938287
28, 0.1, 0.8, 0.6166666666666666
29, 0.025, 0.05263157894736842, 0.003095975232198142
30, 0.0, 0.0, 0.0
31, 0.05, 1.0, 0.6111111111111112
32, 0.05, 0.6666666666666666, 0.20370370370370372
33, 0.0, 0.0, 0.0
34, 0.0, 0.0, 0.0
35, 0.0, 0.0, 0.0
36, 0.15, 0.3, 0.121875
37, 0.1, 0.3333333333333333, 0.19091710758377425
38, 0.25, 0.625, 0.18991706620203225
39, 0.175, 0.5833333333333334, 0.2382116627806283
40, 0.1, 0.4, 0.06324918631420179
41, 0.0, 0.0, 0.0
42, 0.125, 0.23809523809523808, 0.02980656241525807
43, 0.125, 0.12195121951219512, 0.01228321880742027
44, 0.05, 0.11764705882352941, 0.032679738562091505
45, 0.125, 0.19230769230769232, 0.05237699237699237
46, 0.0, 0.0, 0.0
47, 0.0, 0.0, 0.0
48, 0.0, 0.0, 0.0
49, 0.0, 0.0, 0.0
50, 0.0, 0.0, 0.0
51, 0.0, 0.0, 0.0
52, 0.0, 0.0, 0.0
53, 0.0, 0.0, 0.0
54, 0.0, 0.0, 0.0
55, 0.0, 0.0, 0.0
56, 0.0, 0.0, 0.0
57, 0.025, 1.0, 1.0
58, 0.125, 0.16666666666666666, 0.04433100443242431
59, 0.3, 0.27906976744186046, 0.1432145616387798
60, 0.05, 0.07407407407407407, 0.0291005291005291
61, 0.225, 0.2903225806451613, 0.08553121562459423
62, 0.125, 0.625, 0.27396271008403356
63, 0.2, 0.6666666666666666, 0.4170906432748538
64, 0.0, 0.0, 0.0
average, 0.08359375, 0.26827055306242825, 0.10863026665697932
