test_collections/CRAN/CRAN.all
IdeDecHi
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.1, 0.13793103448275862, 0.06075533661740558
2, 0.025, 0.04, 0.004
3, 0.225, 1.0, 0.7215020077074406
4, 0.05, 0.6666666666666666, 0.041666666666666664
5, 0.0, 0.0, 0.0
6, 0.075, 0.6, 0.17619047619047618
7, 0.1, 0.6666666666666666, 0.16256393861892585
8, 0.025, 0.08333333333333333, 0.003787878787878788
9, 0.025, 0.25, 0.007575757575757576
10, 0.05, 0.2222222222222222, 0.12077294685990338
11, 0.05, 0.25, 0.09027777777777778
12, 0.1, 0.6666666666666666, 0.22577838827838828
13, 0.025, 0.2, 0.1
14, 0.05, 0.6666666666666666, 0.35714285714285715
15, 0.05, 0.6666666666666666, 0.2222222222222222
16, 0.05, 0.5, 0.07670454545454546
17, 0.0, 0.0, 0.0
18, 0.05, 0.5, 0.2777777777777778
19, 0.0, 0.0, 0.0
20, 0.025, 0.1, 0.0125
21, 0.075, 0.6, 0.26060606060606056
22, 0.0, 0.0, 0.0
23, 0.075, 0.09090909090909091, 0.008205456095481671
24, 0.05, 0.5, 0.022518382352941176
25, 0.05, 0.2, 0.01213235294117647
26, 0.025, 0.14285714285714285, 0.003968253968253968
27, 0.0, 0.0, 0.0
28, 0.0, 0.0, 0.0
29, 0.1, 0.4, 0.02680046708509707
30, 0.05, 0.25, 0.040625
31, 0.0, 0.0, 0.0
32, 0.05, 0.2857142857142857, 0.08571428571428572
33, 0.05, 0.5, 0.03647214854111406
34, 0.15, 0.8571428571428571, 0.45027586792292673
35, 0.05, 0.5, 0.10606060606060605
36, 0.025, 0.3333333333333333, 0.013888888888888888
37, 0.05, 0.2, 0.023809523809523808
38, 0.075, 0.2727272727272727, 0.06883116883116883
39, 0.15, 0.42857142857142855, 0.1410641502746766
40, 0.125, 0.38461538461538464, 0.18699902248289343
41, 0.05, 0.5, 0.07173913043478261
42, 0.025, 0.16666666666666666, 0.005376344086021505
43, 0.025, 0.14285714285714285, 0.006493506493506494
44, 0.0, 0.0, 0.0
45, 0.175, 0.5384615384615384, 0.17903397771818821
46, 0.25, 0.625, 0.5375945048865942
47, 0.125, 0.3333333333333333, 0.0378982128982129
48, 0.075, 0.25, 0.026620370370370367
49, 0.025, 0.3333333333333333, 0.030303030303030304
50, 0.025, 0.14285714285714285, 0.003861003861003861
51, 0.225, 0.8181818181818182, 0.32091805500896414
52, 0.05, 0.4, 0.028438228438228443
