test_collections/CRAN/CRAN.all
IdeReguler
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.1, 0.13793103448275862, 0.05092136471446816
2, 0.025, 0.04, 0.004
3, 0.225, 1.0, 0.7139801131180441
4, 0.0, 0.0, 0.0
5, 0.0, 0.0, 0.0
6, 0.075, 0.6, 0.05743145743145743
7, 0.1, 0.6666666666666666, 0.11216931216931215
8, 0.1, 0.3333333333333333, 0.040117521367521364
9, 0.1, 1.0, 0.6104166666666666
10, 0.025, 0.1111111111111111, 0.05555555555555555
11, 0.025, 0.125, 0.004032258064516129
12, 0.125, 0.8333333333333334, 0.15595238095238095
13, 0.025, 0.2, 0.008695652173913044
14, 0.05, 0.6666666666666666, 0.40740740740740744
15, 0.05, 0.6666666666666666, 0.4444444444444444
16, 0.05, 0.5, 0.021120689655172414
17, 0.0, 0.0, 0.0
18, 0.0, 0.0, 0.0
19, 0.075, 0.3, 0.021445221445221447
20, 0.025, 0.1, 0.008333333333333333
21, 0.075, 0.6, 0.11608695652173913
22, 0.0, 0.0, 0.0
23, 0.075, 0.09090909090909091, 0.006194567864397087
24, 0.05, 0.5, 0.020970394736842105
25, 0.0, 0.0, 0.0
26, 0.0, 0.0, 0.0
27, 0.075, 0.75, 0.10341251885369532
28, 0.0, 0.0, 0.0
29, 0.025, 0.1, 0.0047619047619047615
30, 0.05, 0.25, 0.03645833333333333
31, 0.0, 0.0, 0.0
32, 0.025, 0.14285714285714285, 0.009523809523809523
33, 0.075, 0.75, 0.04765406162464986
34, 0.15, 0.8571428571428571, 0.43466053087901824
35, 0.05, 0.5, 0.18055555555555555
36, 0.05, 0.6666666666666666, 0.6666666666666666
37, 0.025, 0.1, 0.003125
38, 0.025, 0.09090909090909091, 0.009090909090909092
39, 0.15, 0.42857142857142855, 0.1435846560846561
40, 0.1, 0.3076923076923077, 0.1726979916635089
41, 0.025, 0.25, 0.014705882352941176
42, 0.025, 0.16666666666666666, 0.006172839506172839
43, 0.025, 0.14285714285714285, 0.006493506493506494
44, 0.0, 0.0, 0.0
45, 0.125, 0.38461538461538464, 0.1376427494074553
46, 0.225, 0.5625, 0.5205882352941177
47, 0.1, 0.26666666666666666, 0.02447450210608105
48, 0.075, 0.25, 0.01326058201058201
49, 0.0, 0.0, 0.0
50, 0.0, 0.0, 0.0
51, 0.2, 0.7272727272727273, 0.3086292495383404
52, 0.0, 0.0, 0.0
53, 0.05, 0.18181818181818182, 0.09848484848484848
54, 0.1, 0.4, 0.09914414414414416
55, 0.2, 0.7272727272727273, 0.2844961132057906
56, 0.075, 0.2727272727272727, 0.05551948051948052
57, 0.025, 0.06666666666666667, 0.0047619047619047615
58, 0.1, 0.4, 0.23000000000000004
59, 0.0, 0.0, 0.0
60, 0.025, 0.16666666666666666, 0.00980392156862745
61, 0.05, 0.3333333333333333, 0.06790123456790123
62, 0.0, 0.0, 0.0
63, 0.0, 0.0, 0.0
64, 0.0, 0.0, 0.0
65, 0.025, 0.0625, 0.0625
66, 0.05, 0.3333333333333333, 0.030357142857142857
67, 0.025, 0.06666666666666667, 0.0017543859649122805
68, 0.075, 0.5, 0.18840579710144925
69, 0.05, 0.3333333333333333, 0.03009259259259259
70, 0.05, 0.18181818181818182, 0.05502392344497608
71, 0.05, 0.2222222222222222, 0.06481481481481481
72, 0.025, 0.05555555555555555, 0.0025252525252525255
73, 0.175, 0.3333333333333333, 0.1486056410868441
74, 0.075, 0.42857142857142855, 0.029418785057882802
75, 0.0, 0.0, 0.0
76, 0.025, 0.125, 0.0625
77, 0.025, 0.14285714285714285, 0.004464285714285714
78, 0.075, 0.75, 0.39705882352941174
79, 0.0, 0.0, 0.0
80, 0.05, 0.4, 0.03111111111111111
81, 0.025, 0.3333333333333333, 0.013888888888888888
82, 0.025, 0.16666666666666666, 0.010416666666666666
83, 0.0, 0.0, 0.0
84, 0.05, 0.16666666666666666, 0.014506172839506172
85, 0.025, 0.2, 0.01818181818181818
86, 0.025, 0.3333333333333333, 0.025641025641025644
87, 0.0, 0.0, 0.0
88, 0.1, 0.5714285714285714, 0.16984126984126985
89, 0.05, 0.2857142857142857, 0.012138188608776844
90, 0.05, 0.13333333333333333, 0.007675438596491228
91, 0.125, 0.5, 0.0516087516087516
92, 0.025, 0.07142857142857142, 0.00510204081632653
93, 0.0, 0.0, 0.0
94, 0.175, 0.5384615384615384, 0.22231528226511502
95, 0.05, 0.6666666666666666, 0.21794871794871795
96, 0.175, 0.5, 0.22809994443121379
97, 0.0, 0.0, 0.0
98, 0.025, 0.16666666666666666, 0.004273504273504273
99, 0.075, 0.6, 0.03922619047619048
100, 0.025, 0.1, 0.03333333333333333
101, 0.1, 0.5714285714285714, 0.07405207405207405
102, 0.025, 0.2, 0.03333333333333333
103, 0.025, 0.3333333333333333, 0.030303030303030304
104, 0.05, 0.3333333333333333, 0.0641025641025641
105, 0.075, 0.5, 0.19204980842911876
106, 0.05, 0.3333333333333333, 0.05401234567901234
107, 0.0, 0.0, 0.0
108, 0.025, 0.125, 0.0033783783783783786
109, 0.025, 0.16666666666666666, 0.005747126436781609
110, 0.0, 0.0, 0.0
111, 0.175, 0.875, 0.20899170274170276
112, 0.05, 0.6666666666666666, 0.10353535353535354
113, 0.0, 0.0, 0.0
114, 0.025, 0.2, 0.06666666666666667
115, 0.0, 0.0, 0.0
116, 0.025, 0.16666666666666666, 0.05555555555555555
117, 0.025, 0.3333333333333333, 0.020833333333333332
118, 0.0, 0.0, 0.0
119, 0.0, 0.0, 0.0
120, 0.125, 0.5, 0.14772678302090064
121, 0.0, 0.0, 0.0
122, 0.025, 0.1, 0.002857142857142857
123, 0.0, 0.0, 0.0
124, 0.0, 0.0, 0.0
125, 0.25, 0.5882352941176471, 0.23082184892905958
126, 0.0, 0.0, 0.0
127, 0.025, 0.16666666666666666, 0.005952380952380952
128, 0.0, 0.0, 0.0
129, 0.025, 0.125, 0.0625
130, 0.125, 0.8333333333333334, 0.26056998556998556
131, 0.225, 1.0, 0.37758352758352764
132, 0.4, 1.0, 0.7539304734617234
133, 0.2, 1.0, 0.3219907407407407
134, 0.05, 0.6666666666666666, 0.05469556243550052
135, 0.225, 1.0, 0.1883210805224257
136, 0.075, 0.75, 0.05333459643804471
137, 0.075, 0.6, 0.4
138, 0.0, 0.0, 0.0
139, 0.0, 0.0, 0.0
140, 0.075, 0.42857142857142855, 0.03016033999806819
141, 0.025, 0.14285714285714285, 0.004329004329004329
142, 0.05, 1.0, 0.04816017316017316
143, 0.025, 0.3333333333333333, 0.014492753623188406
144, 0.075, 0.375, 0.04988425925925926
145, 0.05, 0.25, 0.049019607843137254
146, 0.075, 1.0, 0.8333333333333334
147, 0.15, 0.5454545454545454, 0.18403618225599647
148, 0.05, 0.2857142857142857, 0.027777777777777773
149, 0.05, 0.16666666666666666, 0.0275
150, 0.05, 0.6666666666666666, 0.04382183908045977
151, 0.0, 0.0, 0.0
152, 0.05, 0.2857142857142857, 0.017371013741249674
153, 0.0, 0.0, 0.0
154, 0.0, 0.0, 0.0
155, 0.0, 0.0, 0.0
156, 0.05, 0.13333333333333333, 0.009764309764309764
157, 0.075, 0.075, 0.014595959595959596
158, 0.025, 0.1111111111111111, 0.004830917874396135
159, 0.075, 0.3333333333333333, 0.144122383252818
160, 0.05, 0.3333333333333333, 0.030303030303030304
161, 0.0, 0.0, 0.0
162, 0.0, 0.0, 0.0
163, 0.075, 0.75, 0.6041666666666666
164, 0.15, 0.6666666666666666, 0.3581481481481481
165, 0.05, 0.6666666666666666, 0.25
166, 0.025, 0.1111111111111111, 0.05555555555555555
167, 0.025, 0.3333333333333333, 0.012345679012345678
168, 0.0, 0.0, 0.0
169, 0.05, 0.4, 0.04523809523809523
170, 0.0, 0.0, 0.0
171, 0.075, 0.75, 0.06026785714285714
172, 0.075, 0.6, 0.03858974358974358
173, 0.075, 1.0, 0.7037037037037037
174, 0.0, 0.0, 0.0
175, 0.0, 0.0, 0.0
176, 0.05, 0.25, 0.024404761904761905
177, 0.15, 1.0, 0.6261494252873564
178, 0.0, 0.0, 0.0
179, 0.025, 0.2, 0.03333333333333333
180, 0.125, 0.625, 0.13735945767195767
181, 0.05, 0.3333333333333333, 0.09285714285714286
182, 0.075, 1.0, 1.0
183, 0.175, 0.5, 0.15975648323845665
184, 0.0, 0.0, 0.0
185, 0.225, 0.9, 0.512195340501792
186, 0.0, 0.0, 0.0
187, 0.05, 0.2857142857142857, 0.02050580997949419
188, 0.1, 0.3333333333333333, 0.06728632478632478
189, 0.1, 0.4, 0.1519047619047619
190, 0.025, 0.16666666666666666, 0.010416666666666666
191, 0.3, 0.8571428571428571, 0.2892773875030908
192, 0.075, 0.6, 0.04591093117408907
193, 0.1, 0.4, 0.0625
194, 0.025, 0.14285714285714285, 0.004201680672268907
195, 0.025, 0.25, 0.007142857142857143
196, 0.0, 0.0, 0.0
197, 0.025, 0.25, 0.010416666666666666
198, 0.025, 0.2, 0.007142857142857143
199, 0.025, 0.1111111111111111, 0.015873015873015872
200, 0.025, 0.25, 0.008064516129032258
201, 0.025, 0.058823529411764705, 0.003095975232198142
202, 0.025, 0.06666666666666667, 0.002898550724637681
203, 0.05, 0.13333333333333333, 0.007008547008547009
204, 0.0, 0.0, 0.0
205, 0.0, 0.0, 0.0
206, 0.075, 0.75, 0.20476190476190476
207, 0.1, 0.6666666666666666, 0.1771125116713352
208, 0.175, 1.0, 0.7903525046382189
209, 0.0, 0.0, 0.0
210, 0.05, 0.2857142857142857, 0.02976190476190476
211, 0.0, 0.0, 0.0
212, 0.025, 0.06666666666666667, 0.0024691358024691358
213, 0.0, 0.0, 0.0
214, 0.075, 0.6, 0.31999999999999995
215, 0.025, 0.3333333333333333, 0.010101010101010102
216, 0.0, 0.0, 0.0
217, 0.05, 0.125, 0.013523391812865496
218, 0.05, 0.125, 0.005704365079365079
219, 0.15, 0.3157894736842105, 0.05091755505673933
220, 0.05, 0.1, 0.006512605042016806
221, 0.0, 0.0, 0.0
222, 0.2, 0.8, 0.4033974358974358
223, 0.05, 0.4, 0.016693163751987282
224, 0.025, 0.1111111111111111, 0.003003003003003003
225, 0.125, 0.2, 0.05778466694595727
average, 0.05600000000000007, 0.30246758476054947, 0.09583350044833511
