test_collections/CRAN/CRAN.all
Rocchio
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.15, 0.20689655172413793, 0.10424932321484046
2, 0.1, 0.16, 0.019326765188834152
3, 0.2, 0.8888888888888888, 0.7288800705467371
4, 0.05, 0.6666666666666666, 0.047979797979797977
5, 0.0, 0.0, 0.0
6, 0.075, 0.6, 0.2523809523809524
7, 0.1, 0.6666666666666666, 0.16532446311858076
8, 0.0, 0.0, 0.0
9, 0.0, 0.0, 0.0
10, 0.05, 0.2222222222222222, 0.061111111111111116
11, 0.05, 0.25, 0.10416666666666666
12, 0.1, 0.6666666666666666, 0.15833333333333333
13, 0.025, 0.2, 0.05
14, 0.05, 0.6666666666666666, 0.38095238095238093
15, 0.05, 0.6666666666666666, 0.2222222222222222
16, 0.05, 0.5, 0.06971153846153846
17, 0.0, 0.0, 0.0
18, 0.05, 0.5, 0.07678571428571429
19, 0.0, 0.0, 0.0
20, 0.025, 0.1, 0.025
21, 0.075, 0.6, 0.2708333333333333
22, 0.0, 0.0, 0.0
23, 0.175, 0.21212121212121213, 0.03477724289083316
24, 0.05, 0.5, 0.03553921568627451
25, 0.175, 0.7, 0.12443445773242037
26, 0.0, 0.0, 0.0
27, 0.0, 0.0, 0.0
28, 0.0, 0.0, 0.0
29, 0.05, 0.2, 0.009166666666666667
30, 0.05, 0.25, 0.040625
31, 0.0, 0.0, 0.0
32, 0.05, 0.2857142857142857, 0.04047619047619048
33, 0.05, 0.5, 0.041666666666666664
34, 0.15, 0.8571428571428571, 0.4928262213976499
35, 0.05, 0.5, 0.1625
36, 0.0, 0.0, 0.0
37, 0.075, 0.3, 0.07692307692307693
38, 0.075, 0.2727272727272727, 0.06818181818181818
39, 0.15, 0.42857142857142855, 0.1410641502746766
40, 0.125, 0.38461538461538464, 0.1889423076923077
41, 0.075, 0.75, 0.16726190476190475
42, 0.025, 0.16666666666666666, 0.004901960784313725
43, 0.025, 0.14285714285714285, 0.006493506493506494
44, 0.0, 0.0, 0.0
45, 0.175, 0.5384615384615384, 0.21687498022339652
46, 0.25, 0.625, 0.5394288150042627
47, 0.175, 0.4666666666666667, 0.0784667402314461
48, 0.075, 0.25, 0.024975633528265106
49, 0.025, 0.3333333333333333, 0.030303030303030304
50, 0.0, 0.0, 0.0
51, 0.225, 0.8181818181818182, 0.3194485438803621
52, 0.025, 0.2, 0.013333333333333332
53, 0.075, 0.2727272727272727, 0.11646191646191646
54, 0.125, 0.5, 0.16144444444444445
55, 0.0, 0.0, 0.0
56, 0.075, 0.2727272727272727, 0.12597402597402596
57, 0.05, 0.13333333333333333, 0.045454545454545456
58, 0.075, 0.3, 0.1424242424242424
59, 0.0, 0.0, 0.0
60, 0.075, 0.5, 0.16282051282051282
61, 0.075, 0.5, 0.2378472222222222
62, 0.0, 0.0, 0.0
63, 0.0, 0.0, 0.0
64, 0.0, 0.0, 0.0
65, 0.075, 0.1875, 0.07381756756756758
66, 0.025, 0.16666666666666666, 0.08333333333333333
67, 0.05, 0.13333333333333333, 0.005270655270655271
68, 0.075, 0.5, 0.17982456140350878
69, 0.05, 0.3333333333333333, 0.034920634920634915
70, 0.075, 0.2727272727272727, 0.04968805704099821
71, 0.1, 0.4444444444444444, 0.16456314326496882
72, 0.025, 0.05555555555555555, 0.0030864197530864196
73, 0.225, 0.42857142857142855, 0.2385861757290329
74, 0.1, 0.5714285714285714, 0.06224752690918105
75, 0.0, 0.0, 0.0
76, 0.05, 0.25, 0.15625
77, 0.05, 0.2857142857142857, 0.10317460317460317
78, 0.075, 0.75, 0.5208333333333334
79, 0.0, 0.0, 0.0
80, 0.0, 0.0, 0.0
81, 0.0, 0.0, 0.0
82, 0.05, 0.3333333333333333, 0.09313725490196079
83, 0.0, 0.0, 0.0
84, 0.1, 0.3333333333333333, 0.06798515104966718
85, 0.025, 0.2, 0.01818181818181818
86, 0.05, 0.6666666666666666, 0.08095238095238096
87, 0.0, 0.0, 0.0
88, 0.175, 1.0, 0.7187074829931973
89, 0.1, 0.5714285714285714, 0.10378151260504201
90, 0.05, 0.13333333333333333, 0.02592592592592592
91, 0.125, 0.5, 0.2366626794258373
92, 0.05, 0.14285714285714285, 0.011599511599511598
93, 0.025, 0.5, 0.16666666666666666
94, 0.2, 0.6153846153846154, 0.3478632478632478
95, 0.075, 1.0, 0.2636363636363636
96, 0.2, 0.5714285714285714, 0.25277381177935365
97, 0.025, 0.09090909090909091, 0.003952569169960474
98, 0.05, 0.3333333333333333, 0.16666666666666666
99, 0.075, 0.6, 0.2333333333333333
100, 0.1, 0.4, 0.08783882783882783
101, 0.125, 0.7142857142857143, 0.22963713372920533
102, 0.05, 0.4, 0.06333333333333332
103, 0.025, 0.3333333333333333, 0.08333333333333333
104, 0.05, 0.3333333333333333, 0.09567901234567901
105, 0.125, 0.8333333333333334, 0.32094356261022927
106, 0.1, 0.6666666666666666, 0.1703296703296703
107, 0.075, 0.375, 0.14880059970014992
108, 0.05, 0.25, 0.019444444444444445
109, 0.025, 0.16666666666666666, 0.007936507936507936
110, 0.0, 0.0, 0.0
111, 0.2, 1.0, 0.238995263995264
112, 0.05, 0.6666666666666666, 0.27777777777777773
113, 0.025, 0.2, 0.0064516129032258064
114, 0.0, 0.0, 0.0
115, 0.025, 0.2, 0.007407407407407407
116, 0.025, 0.16666666666666666, 0.041666666666666664
117, 0.0, 0.0, 0.0
118, 0.05, 0.5, 0.04503676470588235
119, 0.0, 0.0, 0.0
120, 0.175, 0.7, 0.23776230474506338
121, 0.025, 0.125, 0.003787878787878788
122, 0.075, 0.3, 0.021488095238095237
123, 0.075, 1.0, 0.13888888888888887
124, 0.025, 0.2, 0.014285714285714285
125, 0.275, 0.6470588235294118, 0.2425366891391232
126, 0.05, 0.2222222222222222, 0.021057347670250897
127, 0.025, 0.16666666666666666, 0.041666666666666664
128, 0.0, 0.0, 0.0
129, 0.025, 0.125, 0.125
130, 0.125, 0.8333333333333334, 0.4334490740740741
131, 0.225, 1.0, 0.42717406050739387
132, 0.375, 0.9375, 0.5811681825226718
133, 0.15, 0.75, 0.2261837121212121
134, 0.05, 0.6666666666666666, 0.12222222222222223
135, 0.225, 1.0, 0.4745978659022137
136, 0.0, 0.0, 0.0
137, 0.05, 0.4, 0.22105263157894733
138, 0.0, 0.0, 0.0
139, 0.0, 0.0, 0.0
140, 0.05, 0.2857142857142857, 0.06802721088435373
141, 0.0, 0.0, 0.0
142, 0.0, 0.0, 0.0
143, 0.025, 0.3333333333333333, 0.018518518518518517
144, 0.075, 0.375, 0.16558441558441558
145, 0.05, 0.25, 0.13306451612903225
146, 0.075, 1.0, 0.7916666666666666
147, 0.175, 0.6363636363636364, 0.2955205905205905
148, 0.075, 0.42857142857142855, 0.05463108320251177
149, 0.05, 0.16666666666666666, 0.09027777777777778
150, 0.075, 1.0, 0.21944444444444444
151, 0.0, 0.0, 0.0
152, 0.05, 0.2857142857142857, 0.02403628117913832
153, 0.05, 0.25, 0.0234375
154, 0.025, 0.3333333333333333, 0.041666666666666664
155, 0.05, 0.2857142857142857, 0.019420671494404212
156, 0.175, 0.4666666666666667, 0.0794629326093857
157, 0.15, 0.15, 0.06665509777578743
158, 0.0, 0.0, 0.0
159, 0.075, 0.3333333333333333, 0.24786324786324787
160, 0.075, 0.5, 0.053622303622303615
161, 0.05, 0.2857142857142857, 0.027926960257787323
162, 0.0, 0.0, 0.0
163, 0.075, 0.75, 0.75
164, 0.1, 0.4444444444444444, 0.09799253034547153
165, 0.05, 0.6666666666666666, 0.6666666666666666
166, 0.075, 0.3333333333333333, 0.14153439153439154
167, 0.025, 0.3333333333333333, 0.027777777777777776
168, 0.0, 0.0, 0.0
169, 0.05, 0.4, 0.04318181818181818
170, 0.0, 0.0, 0.0
171, 0.05, 0.5, 0.10416666666666666
172, 0.075, 0.6, 0.06621621621621622
173, 0.075, 1.0, 0.7916666666666666
174, 0.025, 0.16666666666666666, 0.007575757575757576
175, 0.025, 0.16666666666666666, 0.004901960784313725
176, 0.05, 0.25, 0.040625
177, 0.15, 1.0, 0.6027777777777777
178, 0.075, 0.6, 0.1160233918128655
179, 0.0, 0.0, 0.0
180, 0.15, 0.75, 0.21339285714285713
181, 0.05, 0.3333333333333333, 0.17543859649122806
182, 0.075, 1.0, 0.8095238095238094
183, 0.175, 0.5, 0.17285172133369472
184, 0.0, 0.0, 0.0
185, 0.225, 0.9, 0.7017643540669856
186, 0.0, 0.0, 0.0
187, 0.05, 0.2857142857142857, 0.10476190476190476
188, 0.15, 0.5, 0.13057700557700558
189, 0.15, 0.6, 0.25285714285714284
190, 0.05, 0.3333333333333333, 0.022624434389140274
191, 0.3, 0.8571428571428571, 0.31970670375173477
192, 0.1, 0.8, 0.2199671592775041
193, 0.15, 0.6, 0.18571899115377377
194, 0.05, 0.2857142857142857, 0.02070902070902071
195, 0.025, 0.25, 0.010869565217391304
196, 0.0, 0.0, 0.0
197, 0.0, 0.0, 0.0
198, 0.025, 0.2, 0.011764705882352941
199, 0.0, 0.0, 0.0
200, 0.0, 0.0, 0.0
201, 0.1, 0.23529411764705882, 0.017947501581277673
202, 0.125, 0.3333333333333333, 0.061868686868686865
203, 0.075, 0.2, 0.015380434782608695
204, 0.0, 0.0, 0.0
205, 0.0, 0.0, 0.0
206, 0.075, 0.75, 0.4270833333333333
207, 0.1, 0.6666666666666666, 0.20476190476190473
208, 0.15, 0.8571428571428571, 0.7976190476190476
209, 0.05, 0.15384615384615385, 0.011599511599511598
210, 0.075, 0.42857142857142855, 0.07699443413729128
211, 0.0, 0.0, 0.0
212, 0.025, 0.06666666666666667, 0.00392156862745098
213, 0.025, 0.08333333333333333, 0.003472222222222222
214, 0.075, 0.6, 0.3509803921568627
215, 0.025, 0.3333333333333333, 0.1111111111111111
216, 0.0, 0.0, 0.0
217, 0.075, 0.1875, 0.03869047619047619
218, 0.2, 0.5, 0.0944140891592166
219, 0.125, 0.2631578947368421, 0.03989332305121779
220, 0.175, 0.35, 0.07203699557147833
221, 0.1, 0.21052631578947367, 0.017580506305551677
222, 0.225, 0.9, 0.5056145325262973
223, 0.05, 0.4, 0.13636363636363638
224, 0.05, 0.2222222222222222, 0.06296296296296296
225, 0.125, 0.2, 0.0875925925925926
average, 0.06866666666666672, 0.3497197356885945, 0.12713334413535082
