test_collections/MED/MED.all
IdeDecHi
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.575, 0.6216216216216216, 0.4511665434935442
2, 0.275, 0.6875, 0.43549107142857135
3, 0.375, 0.6818181818181818, 0.5332059849105304
4, 0.3, 0.5217391304347826, 0.280329009767696
5, 0.075, 0.11538461538461539, 0.045083122006198934
6, 0.3, 0.9230769230769231, 0.461690697217013
7, 0.275, 0.7333333333333333, 0.5464021164021164
8, 0.25, 0.9090909090909091, 0.37181923353553453
9, 0.075, 0.10714285714285714, 0.010320597277119018
10, 0.225, 0.375, 0.24315563213589533
11, 0.325, 0.7222222222222222, 0.2531401006401006
12, 0.1, 0.4444444444444444, 0.07535823053064433
13, 0.5, 0.9523809523809523, 0.8231997904808965
14, 0.075, 0.1875, 0.016675824175824173
15, 0.25, 0.3448275862068966, 0.15293647820871048
16, 0.25, 0.7692307692307693, 0.27259173252502944
17, 0.05, 0.09523809523809523, 0.009297052154195011
18, 0.25, 0.6666666666666666, 0.2640916423765789
19, 0.275, 0.4074074074074074, 0.1425270577494908
20, 0.25, 0.2564102564102564, 0.06701439726083275
21, 0.0, 0.0, 0.0
22, 0.325, 0.52, 0.13644026080062166
23, 0.6333333333333333, 0.48717948717948717, 0.41260739972278426
24, 0.25, 0.45454545454545453, 0.23817293817293816
25, 0.35, 0.5833333333333334, 0.23554864961892505
26, 0.05, 0.07142857142857142, 0.004212454212454212
27, 0.025, 0.05555555555555555, 0.0024154589371980675
28, 0.15, 0.15384615384615385, 0.03917337723005739
29, 0.175, 0.1891891891891892, 0.12152509652509651
30, 0.125, 0.35714285714285715, 0.04649470899470899
average, 0.2377777777777778, 0.4464752191443846, 0.22306955528304354
