test_collections/MED/MED.all
IdeReguler
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.575, 0.6216216216216216, 0.4511665434935442
2, 0.25, 0.625, 0.40673775076832347
3, 0.375, 0.6818181818181818, 0.5332059849105304
4, 0.3, 0.5217391304347826, 0.280329009767696
5, 0.075, 0.11538461538461539, 0.045083122006198934
6, 0.3, 0.9230769230769231, 0.461690697217013
7, 0.25, 0.6666666666666666, 0.47789363615450575
8, 0.25, 0.9090909090909091, 0.39082204027856204
9, 0.075, 0.10714285714285714, 0.008682420336555674
10, 0.225, 0.375, 0.24315563213589533
11, 0.325, 0.7222222222222222, 0.2531401006401006
12, 0.05, 0.2222222222222222, 0.05026455026455026
13, 0.5, 0.9523809523809523, 0.8231997904808965
14, 0.075, 0.1875, 0.016675824175824173
15, 0.175, 0.2413793103448276, 0.1691381089640938
16, 0.175, 0.5384615384615384, 0.18993212669683254
17, 0.0, 0.0, 0.0
18, 0.25, 0.6666666666666666, 0.2640916423765789
19, 0.275, 0.4074074074074074, 0.1425270577494908
20, 0.325, 0.3333333333333333, 0.23508863769044758
21, 0.15, 0.2222222222222222, 0.035801410947609774
22, 0.3, 0.48, 0.10944325104759148
23, 0.6333333333333333, 0.48717948717948717, 0.41260739972278426
24, 0.275, 0.5, 0.20983521618668652
25, 0.35, 0.5833333333333334, 0.2424930940633695
26, 0.025, 0.03571428571428571, 0.002232142857142857
27, 0.0, 0.0, 0.0
28, 0.15, 0.15384615384615385, 0.03198289939180628
29, 0.175, 0.1891891891891892, 0.12907503777068996
30, 0.1, 0.2857142857142857, 0.027315076228119708
average, 0.23277777777777778, 0.4251771171824895, 0.221453673477448
