test_collections/MED/MED.all
Pseudo
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.575, 0.6216216216216216, 0.4511665434935442
2, 0.3, 0.75, 0.48606662669162665
3, 0.375, 0.6818181818181818, 0.5332059849105304
4, 0.3, 0.5217391304347826, 0.280329009767696
5, 0.2, 0.3076923076923077, 0.10499963389649768
6, 0.3, 0.9230769230769231, 0.48472217437734677
7, 0.25, 0.6666666666666666, 0.5069047619047617
8, 0.25, 0.9090909090909091, 0.33808163084478876
9, 0.2, 0.2857142857142857, 0.05822139950432947
10, 0.225, 0.375, 0.24315563213589533
11, 0.35, 0.7777777777777778, 0.27109927715249704
12, 0.1, 0.4444444444444444, 0.13675213675213677
13, 0.5, 0.9523809523809523, 0.8231997904808965
14, 0.2, 0.5, 0.08799401291973448
15, 0.275, 0.3793103448275862, 0.2465098384676425
16, 0.25, 0.7692307692307693, 0.4886771011264938
17, 0.05, 0.09523809523809523, 0.007992007992007992
18, 0.25, 0.6666666666666666, 0.2640916423765789
19, 0.275, 0.4074074074074074, 0.1425270577494908
20, 0.25, 0.2564102564102564, 0.06725725180429716
21, 0.0, 0.0, 0.0
22, 0.25, 0.4, 0.097949360801887
23, 0.6333333333333333, 0.48717948717948717, 0.41260739972278426
24, 0.225, 0.4090909090909091, 0.1914043027679391
25, 0.375, 0.625, 0.36566448021595455
26, 0.05, 0.07142857142857142, 0.004212454212454212
27, 0.025, 0.05555555555555555, 0.0024154589371980675
28, 0.175, 0.1794871794871795, 0.04470661203873545
29, 0.225, 0.24324324324324326, 0.13957824819893785
30, 0.125, 0.35714285714285715, 0.0966117216117216
average, 0.25194444444444447, 0.47064715145424785, 0.24593678509521352
