test_collections/NPL/NPL.all
IdeDecHi
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.075, 0.06521739130434782, 0.005159559643255296
2, 0.0, 0.0, 0.0
3, 0.025, 0.05263157894736842, 0.006578947368421052
4, 0.025, 0.06666666666666667, 0.01111111111111111
5, 0.125, 0.15151515151515152, 0.017370701194230606
6, 0.05, 0.4, 0.14444444444444443
7, 0.0, 0.0, 0.0
8, 0.0, 0.0, 0.0
9, 0.0, 0.0, 0.0
10, 0.15, 0.6, 0.2136566924066924
11, 0.475, 0.25333333333333335, 0.12295419628570582
12, 0.025, 1.0, 0.5
13, 0.025, 0.5, 0.08333333333333333
14, 0.025, 0.09090909090909091, 0.004132231404958678
15, 0.05, 0.5, 0.05
16, 0.1, 0.10256410256410256, 0.018169864323710476
17, 0.15, 0.1016949152542373, 0.019076755241521814
18, 0.05, 0.03571428571428571, 0.004332983193277311
19, 0.125, 0.15625, 0.02204835654936461
20, 0.05, 0.07692307692307693, 0.0038550159517901452
21, 0.15, 0.2608695652173913, 0.05672877846790889
22, 0.0, 0.0, 0.0
23, 0.075, 0.125, 0.012842090859332238
24, 0.125, 0.21739130434782608, 0.0183798478992987
25, 0.125, 0.1, 0.04550269905533063
26, 0.2, 0.12307692307692308, 0.04424271270425117
27, 0.1, 0.2, 0.04080155138978668
28, 0.325, 0.3333333333333333, 0.1351207368057962
29, 0.625, 0.3424657534246575, 0.25191042109880957
30, 0.65, 0.49056603773584906, 0.4015998672895109
31, 0.0, 0.0, 0.0
32, 0.0, 0.0, 0.0
33, 0.125, 0.625, 0.07539788840192066
34, 0.025, 0.09090909090909091, 0.022727272727272728
35, 0.05, 0.2857142857142857, 0.012544802867383511
36, 0.05, 0.18181818181818182, 0.024915824915824916
37, 0.05, 0.15384615384615385, 0.029914529914529912
38, 0.025, 0.125, 0.017857142857142856
39, 0.025, 0.1111111111111111, 0.0038314176245210726
40, 0.3, 0.4, 0.15792787936750782
41, 0.05, 0.25, 0.025921658986175114
42, 0.025, 0.04, 0.0026666666666666666
43, 0.1, 0.3333333333333333, 0.10823412698412699
44, 0.05, 0.4, 0.025098039215686273
45, 0.25, 0.3448275862068966, 0.11658269891028514
46, 0.0, 0.0, 0.0
47, 0.0, 0.0, 0.0
48, 0.1, 0.047619047619047616, 0.01488663081222065
49, 0.175, 0.19444444444444445, 0.04731934731934732
50, 0.075, 0.42857142857142855, 0.1910866910866911
51, 0.05, 0.25, 0.011618589743589744
52, 0.0, 0.0, 0.0
53, 0.425, 0.3617021276595745, 0.2030274206655832
54, 0.075, 0.09375, 0.029647435897435896
55, 0.025, 0.3333333333333333, 0.015151515151515152
56, 0.0, 0.0, 0.0
57, 0.025, 1.0, 0.045454545454545456
58, 0.125, 0.3125, 0.06198384526224283
59, 0.025, 0.04, 0.0016666666666666666
60, 0.025, 0.058823529411764705, 0.005347593582887701
61, 0.0, 0.0, 0.0
62, 0.1, 0.3076923076923077, 0.06396461977224227
63, 0.05, 0.05128205128205128, 0.002417903733693207
64, 0.025, 0.1, 0.004545454545454545
65, 0.025, 0.1, 0.03333333333333333
66, 0.0, 0.0, 0.0
67, 0.0, 0.0, 0.0
68, 0.0, 0.0, 0.0
69, 0.15, 0.14285714285714285, 0.02541924820687584
70, 0.2, 0.38095238095238093, 0.1245504781219067
71, 0.175, 0.23333333333333334, 0.047769322181086885
72, 0.075, 0.13636363636363635, 0.008176845676845677
73, 0.075, 0.75, 0.34545454545454546
74, 0.05, 0.25, 0.011684782608695652
75, 0.075, 0.1111111111111111, 0.006197786131996658
76, 0.1, 0.12121212121212122, 0.011299081035923142
77, 0.025, 0.07142857142857142, 0.0037593984962406013
78, 0.05, 0.4, 0.3
79, 0.05, 0.09523809523809523, 0.03968253968253968
80, 0.0, 0.0, 0.0
81, 0.1, 0.2222222222222222, 0.02253764753764754
82, 0.2, 0.25, 0.05603089841769012
83, 0.35, 0.21212121212121213, 0.1010605372178262
84, 0.025, 0.1111111111111111, 0.002777777777777778
85, 0.1, 0.16666666666666666, 0.023721527011000693
86, 0.05, 0.08, 0.04615384615384615
87, 0.075, 0.10344827586206896, 0.01034682600745411
88, 0.0, 0.0, 0.0
89, 0.025, 0.25, 0.009615384615384616
90, 0.125, 0.22727272727272727, 0.09164862914862915
91, 0.125, 0.19230769230769232, 0.040288551317963085
92, 0.025, 0.043478260869565216, 0.002288329519450801
93, 0.0, 0.0, 0.0
94, 0.1, 0.2, 0.05028656126482214
95, 0.075, 0.42857142857142855, 0.0821256038647343
96, 0.0, 0.0, 0.0
97, 0.025, 0.08333333333333333, 0.041666666666666664
98, 0.05, 0.06896551724137931, 0.012643678160919542
99, 0.125, 0.14285714285714285, 0.05216729712479957
100, 0.05, 0.14285714285714285, 0.09523809523809523
average, 0.09000000000000004, 0.18985109649010729, 0.05253016325129699
