test_collections/NPL/NPL.all
IdeReguler
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.075, 0.06521739130434782, 0.004811224306315471
2, 0.0, 0.0, 0.0
3, 0.025, 0.05263157894736842, 0.005263157894736842
4, 0.0, 0.0, 0.0
5, 0.025, 0.030303030303030304, 8.417508417508417E-4
6, 0.075, 0.6, 0.20666666666666664
7, 0.0, 0.0, 0.0
8, 0.0, 0.0, 0.0
9, 0.0, 0.0, 0.0
10, 0.15, 0.6, 0.20889478764478767
11, 0.475, 0.25333333333333335, 0.12295419628570582
12, 0.0, 0.0, 0.0
13, 0.0, 0.0, 0.0
14, 0.0, 0.0, 0.0
15, 0.05, 0.5, 0.04096989966555184
16, 0.075, 0.07692307692307693, 0.010198135198135198
17, 0.15, 0.1016949152542373, 0.019076755241521814
18, 0.05, 0.03571428571428571, 0.005298273155416013
19, 0.125, 0.15625, 0.016385140956713538
20, 0.025, 0.038461538461538464, 0.002403846153846154
21, 0.125, 0.21739130434782608, 0.03308436035279135
22, 0.025, 0.07692307692307693, 0.006993006993006993
23, 0.05, 0.08333333333333333, 0.0076388888888888895
24, 0.125, 0.21739130434782608, 0.0183798478992987
25, 0.15, 0.12, 0.04306255831383165
26, 0.2, 0.12307692307692308, 0.025814986584217353
27, 0.1, 0.2, 0.02904301637060258
28, 0.35, 0.358974358974359, 0.1483385298723767
29, 0.75, 0.410958904109589, 0.32431558453559717
30, 0.675, 0.5094339622641509, 0.4115399712464966
31, 0.0, 0.0, 0.0
32, 0.0, 0.0, 0.0
33, 0.1, 0.5, 0.05043458781362007
34, 0.0, 0.0, 0.0
35, 0.05, 0.2857142857142857, 0.07619047619047618
36, 0.025, 0.09090909090909091, 0.022727272727272728
37, 0.05, 0.15384615384615385, 0.01575091575091575
38, 0.0, 0.0, 0.0
39, 0.025, 0.1111111111111111, 0.010101010101010102
40, 0.3, 0.4, 0.14871336022651813
41, 0.05, 0.25, 0.014705882352941176
42, 0.0, 0.0, 0.0
43, 0.125, 0.4166666666666667, 0.06682437932437932
44, 0.0, 0.0, 0.0
45, 0.25, 0.3448275862068966, 0.11658269891028514
46, 0.0, 0.0, 0.0
47, 0.0, 0.0, 0.0
48, 0.1, 0.047619047619047616, 0.015028005504195979
49, 0.175, 0.19444444444444445, 0.04731934731934732
50, 0.05, 0.2857142857142857, 0.18367346938775508
51, 0.1, 0.5, 0.2575892857142857
52, 0.0, 0.0, 0.0
53, 0.425, 0.3617021276595745, 0.19993264310272058
54, 0.075, 0.09375, 0.029647435897435896
55, 0.0, 0.0, 0.0
56, 0.0, 0.0, 0.0
57, 0.0, 0.0, 0.0
58, 0.1, 0.25, 0.031217650103519668
59, 0.0, 0.0, 0.0
60, 0.025, 0.058823529411764705, 0.004201680672268907
61, 0.0, 0.0, 0.0
62, 0.075, 0.23076923076923078, 0.017322447373598268
63, 0.0, 0.0, 0.0
64, 0.05, 0.2, 0.125
65, 0.025, 0.1, 0.0125
66, 0.0, 0.0, 0.0
67, 0.0, 0.0, 0.0
68, 0.0, 0.0, 0.0
69, 0.075, 0.07142857142857142, 0.010345804988662131
70, 0.2, 0.38095238095238093, 0.1245504781219067
71, 0.175, 0.23333333333333334, 0.047769322181086885
72, 0.025, 0.045454545454545456, 0.002066115702479339
73, 0.025, 0.25, 0.0625
74, 0.0, 0.0, 0.0
75, 0.0, 0.0, 0.0
76, 0.075, 0.09090909090909091, 0.007413450537389416
77, 0.025, 0.07142857142857142, 0.0037593984962406013
78, 0.075, 0.6, 0.33333333333333337
79, 0.025, 0.047619047619047616, 0.015873015873015872
80, 0.0, 0.0, 0.0
81, 0.1, 0.2222222222222222, 0.024392312480547778
82, 0.175, 0.21875, 0.11030505952380952
83, 0.35, 0.21212121212121213, 0.1010605372178262
84, 0.0, 0.0, 0.0
85, 0.05, 0.08333333333333333, 0.007506127450980392
86, 0.05, 0.08, 0.04615384615384615
87, 0.0, 0.0, 0.0
88, 0.0, 0.0, 0.0
89, 0.0, 0.0, 0.0
90, 0.05, 0.09090909090909091, 0.05844155844155843
91, 0.1, 0.15384615384615385, 0.02693385046326223
92, 0.025, 0.043478260869565216, 0.002288329519450801
93, 0.0, 0.0, 0.0
94, 0.075, 0.15, 0.03956140350877193
95, 0.025, 0.14285714285714285, 0.02040816326530612
96, 0.0, 0.0, 0.0
97, 0.025, 0.08333333333333333, 0.020833333333333332
98, 0.0, 0.0, 0.0
99, 0.125, 0.14285714285714285, 0.05216729712479957
100, 0.025, 0.07142857142857142, 0.004201680672268907
average, 0.079, 0.13190171882594162, 0.04259301551930676
