test_collections/NPL/NPL.all
Rocchio
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.125, 0.10869565217391304, 0.01708280032263202
2, 0.0, 0.0, 0.0
3, 0.075, 0.15789473684210525, 0.01720647773279352
4, 0.025, 0.06666666666666667, 0.006060606060606061
5, 0.175, 0.21212121212121213, 0.0479119467924022
6, 0.05, 0.4, 0.16666666666666666
7, 0.0, 0.0, 0.0
8, 0.0, 0.0, 0.0
9, 0.0, 0.0, 0.0
10, 0.125, 0.5, 0.22125
11, 0.55, 0.29333333333333333, 0.1679599605132154
12, 0.025, 1.0, 0.3333333333333333
13, 0.025, 0.5, 0.05
14, 0.025, 0.09090909090909091, 0.004132231404958678
15, 0.05, 0.5, 0.05
16, 0.15, 0.15384615384615385, 0.053297171113263056
17, 0.275, 0.1864406779661017, 0.04863964638950028
18, 0.275, 0.19642857142857142, 0.05220834087223406
19, 0.175, 0.21875, 0.039166157916157913
20, 0.0, 0.0, 0.0
21, 0.175, 0.30434782608695654, 0.07202798370400054
22, 0.0, 0.0, 0.0
23, 0.1, 0.16666666666666666, 0.02202428878153516
24, 0.15, 0.2608695652173913, 0.04745295428253519
25, 0.225, 0.18, 0.0748183838242822
26, 0.275, 0.16923076923076924, 0.09484672006411135
27, 0.1, 0.2, 0.04135302197802198
28, 0.3, 0.3076923076923077, 0.12368835519410964
29, 0.475, 0.2602739726027397, 0.14899410179763656
30, 0.5, 0.37735849056603776, 0.2860262679929676
31, 0.225, 0.32142857142857145, 0.12755429094714807
32, 0.0, 0.0, 0.0
33, 0.125, 0.625, 0.11142167011732229
34, 0.025, 0.09090909090909091, 0.022727272727272728
35, 0.0, 0.0, 0.0
36, 0.05, 0.18181818181818182, 0.029461279461279462
37, 0.075, 0.23076923076923078, 0.05448717948717948
38, 0.025, 0.125, 0.013888888888888888
39, 0.0, 0.0, 0.0
40, 0.3, 0.4, 0.1770842437289806
41, 0.075, 0.375, 0.03718191876086613
42, 0.075, 0.12, 0.019714285714285712
43, 0.125, 0.4166666666666667, 0.18385668276972625
44, 0.05, 0.4, 0.025098039215686273
45, 0.25, 0.3448275862068966, 0.12233061101028433
46, 0.0, 0.0, 0.0
47, 0.0, 0.0, 0.0
48, 0.1, 0.047619047619047616, 0.014999660832994165
49, 0.175, 0.19444444444444445, 0.053723668307001635
50, 0.1, 0.5714285714285714, 0.1632996632996633
51, 0.0, 0.0, 0.0
52, 0.0, 0.0, 0.0
53, 0.5, 0.425531914893617, 0.3331156000471795
54, 0.125, 0.15625, 0.03808173723118279
55, 0.0, 0.0, 0.0
56, 0.0, 0.0, 0.0
57, 0.025, 1.0, 0.037037037037037035
58, 0.125, 0.3125, 0.10679447364229973
59, 0.025, 0.04, 0.0016666666666666666
60, 0.025, 0.058823529411764705, 0.005347593582887701
61, 0.0, 0.0, 0.0
62, 0.15, 0.46153846153846156, 0.0930884904569115
63, 0.05, 0.05128205128205128, 0.0033968880122726276
64, 0.0, 0.0, 0.0
65, 0.025, 0.1, 0.03333333333333333
66, 0.0, 0.0, 0.0
67, 0.0, 0.0, 0.0
68, 0.0, 0.0, 0.0
69, 0.2, 0.19047619047619047, 0.03291810068429035
70, 0.25, 0.47619047619047616, 0.171474611600662
71, 0.2, 0.26666666666666666, 0.08941975308641974
72, 0.0, 0.0, 0.0
73, 0.075, 0.75, 0.3632478632478633
74, 0.0, 0.0, 0.0
75, 0.0, 0.0, 0.0
76, 0.125, 0.15151515151515152, 0.01893421748494212
77, 0.175, 0.5, 0.0983694366793659
78, 0.075, 0.6, 0.3315789473684211
79, 0.05, 0.09523809523809523, 0.07142857142857142
80, 0.025, 0.03125, 0.001644736842105263
81, 0.1, 0.2222222222222222, 0.023128106461439795
82, 0.225, 0.28125, 0.10086784266117296
83, 0.5, 0.30303030303030304, 0.1813792665139468
84, 0.0, 0.0, 0.0
85, 0.1, 0.16666666666666666, 0.0560515873015873
86, 0.05, 0.08, 0.04615384615384615
87, 0.075, 0.10344827586206896, 0.009261416589002796
88, 0.0, 0.0, 0.0
89, 0.0, 0.0, 0.0
90, 0.15, 0.2727272727272727, 0.1765873015873016
91, 0.125, 0.19230769230769232, 0.055100810870041636
92, 0.05, 0.08695652173913043, 0.011231884057971013
93, 0.0, 0.0, 0.0
94, 0.1, 0.2, 0.04458110516934046
95, 0.075, 0.42857142857142855, 0.0821256038647343
96, 0.0, 0.0, 0.0
97, 0.025, 0.08333333333333333, 0.027777777777777776
98, 0.05, 0.06896551724137931, 0.012643678160919542
99, 0.15, 0.17142857142857143, 0.06575002724201807
100, 0.05, 0.14285714285714285, 0.09523809523809523
average, 0.10250000000000004, 0.197274645698404, 0.061617331800871485
