test_collections/adi/adi.all
IdeDecHi
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.075, 1.0, 0.16534391534391532
2, 0.05, 1.0, 0.25
3, 0.1, 1.0, 0.7333333333333333
4, 0.025, 0.5, 0.08333333333333333
5, 0.075, 1.0, 0.6388888888888888
6, 0.05, 1.0, 0.06084656084656084
7, 0.1, 1.0, 0.10532903191261513
8, 0.025, 1.0, 0.05555555555555555
9, 0.025, 0.5, 0.013157894736842105
10, 0.075, 0.6, 0.22999999999999998
11, 0.05, 0.5, 0.10416666666666666
12, 0.14705882352941177, 1.0, 0.36154158215010146
13, 0.15, 1.0, 0.31305418719211825
14, 0.0, 0.0, 0.0
15, 0.15, 1.0, 0.34485294117647053
16, 0.05, 0.6666666666666666, 0.35000000000000003
17, 0.025, 0.5, 0.022727272727272728
18, 0.1111111111111111, 1.0, 0.7192982456140351
19, 0.1, 0.8, 0.4333333333333333
20, 0.05, 0.6666666666666666, 0.03984287317620651
21, 0.125, 1.0, 0.7476190476190475
22, 0.1, 0.6666666666666666, 0.3412503412503412
23, 0.025, 1.0, 0.07692307692307693
24, 0.225, 1.0, 0.7756132756132756
25, 0.05, 0.6666666666666666, 0.6666666666666666
26, 0.025, 1.0, 0.03571428571428571
27, 0.425, 0.5151515151515151, 0.30127382621612847
28, 0.075, 0.75, 0.04380760368663594
29, 0.025, 1.0, 0.041666666666666664
30, 0.15, 0.6666666666666666, 0.08546227435116324
31, 0.15, 0.5454545454545454, 0.08866789775880685
32, 0.05, 1.0, 0.2777777777777778
33, 0.05, 0.5, 0.05505952380952381
34, 0.1, 0.6666666666666666, 0.24293394777265745
35, 0.175, 0.875, 0.17629007465963986
average, 0.09094771241830064, 0.7881601731601734, 0.2566094829277984
