test_collections/adi/adi.all
IdeReguler
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.075, 1.0, 0.12337164750957853
2, 0.05, 1.0, 0.39285714285714285
3, 0.1, 1.0, 0.8166666666666667
4, 0.025, 0.5, 0.020833333333333332
5, 0.075, 1.0, 0.34920634920634913
6, 0.05, 1.0, 0.039154539154539154
7, 0.1, 1.0, 0.07111426441921798
8, 0.025, 1.0, 0.03333333333333333
9, 0.025, 0.5, 0.014705882352941176
10, 0.1, 0.8, 0.26372549019607844
11, 0.05, 0.5, 0.05277777777777778
12, 0.14705882352941177, 1.0, 0.266863711001642
13, 0.15, 1.0, 0.19613499527292633
14, 0.0, 0.0, 0.0
15, 0.15, 1.0, 0.37682132682132674
16, 0.025, 0.3333333333333333, 0.16666666666666666
17, 0.025, 0.5, 0.015625
18, 0.1111111111111111, 1.0, 0.7666666666666666
19, 0.1, 0.8, 0.29166666666666663
20, 0.075, 1.0, 0.06755178560452395
21, 0.125, 1.0, 0.7722222222222223
22, 0.1, 0.6666666666666666, 0.2185099846390169
23, 0.025, 1.0, 0.3333333333333333
24, 0.225, 1.0, 0.7504810004810004
25, 0.075, 1.0, 0.6944444444444445
26, 0.025, 1.0, 0.03333333333333333
27, 0.425, 0.5151515151515151, 0.27674249949475116
28, 0.075, 0.75, 0.16385630498533724
29, 0.025, 1.0, 0.5
30, 0.15, 0.6666666666666666, 0.08546227435116324
31, 0.15, 0.5454545454545454, 0.0723487675682033
32, 0.05, 1.0, 0.31666666666666665
33, 0.05, 0.5, 0.04853479853479853
34, 0.125, 0.8333333333333334, 0.3174289891395154
35, 0.175, 0.875, 0.17291968599033816
average, 0.09309056956115777, 0.8081601731601733, 0.25948650144832863
