test_collections/adi/adi.all
Rocchio
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.075, 1.0, 0.15574074074074074
2, 0.05, 1.0, 0.45
3, 0.1, 1.0, 0.7333333333333333
4, 0.025, 0.5, 0.045454545454545456
5, 0.075, 1.0, 0.46581196581196577
6, 0.0, 0.0, 0.0
7, 0.1, 1.0, 0.09495341614906831
8, 0.025, 1.0, 0.05263157894736842
9, 0.0, 0.0, 0.0
10, 0.075, 0.6, 0.2128205128205128
11, 0.05, 0.5, 0.10416666666666666
12, 0.14705882352941177, 1.0, 0.5148749154834348
13, 0.15, 1.0, 0.4623928115307425
14, 0.0, 0.0, 0.0
15, 0.15, 1.0, 0.3824142324142324
16, 0.025, 0.3333333333333333, 0.3333333333333333
17, 0.025, 0.5, 0.016129032258064516
18, 0.1111111111111111, 1.0, 0.7222222222222222
19, 0.1, 0.8, 0.3771428571428571
20, 0.075, 1.0, 0.08404503105590062
21, 0.125, 1.0, 0.7633333333333333
22, 0.1, 0.6666666666666666, 0.2594710094710095
23, 0.025, 1.0, 0.1
24, 0.225, 1.0, 0.8445785151667504
25, 0.05, 0.6666666666666666, 0.6666666666666666
26, 0.025, 1.0, 0.034482758620689655
27, 0.45, 0.5454545454545454, 0.35796390857939026
28, 0.0, 0.0, 0.0
29, 0.0, 0.0, 0.0
30, 0.15, 0.6666666666666666, 0.08546227435116324
31, 0.15, 0.5454545454545454, 0.07736885197700244
32, 0.05, 1.0, 0.2777777777777778
33, 0.05, 0.5, 0.052380952380952375
34, 0.1, 0.6666666666666666, 0.27751322751322755
35, 0.175, 0.875, 0.19760457013746488
average, 0.08666199813258635, 0.6961688311688313, 0.26291631546686905
