test_collections/cisi/cisi.all
IdeDecHi
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.225, 0.1956521739130435, 0.09273232805841501
2, 0.05, 0.07692307692307693, 0.004387464387464388
3, 0.1, 0.09090909090909091, 0.008601641414141414
4, 0.025, 0.125, 0.004166666666666667
5, 0.05, 0.08333333333333333, 0.005853174603174603
6, 0.025, 1.0, 0.5
7, 0.025, 0.125, 0.007352941176470588
8, 0.0, 0.0, 0.0
9, 0.05, 0.058823529411764705, 0.005056759545923632
10, 0.025, 0.038461538461538464, 0.0011312217194570135
11, 0.475, 0.14960629921259844, 0.09626524789851562
12, 0.075, 0.23076923076923078, 0.17307692307692307
13, 0.5, 0.21978021978021978, 0.09340169288873616
14, 0.0, 0.0, 0.0
15, 0.125, 0.06097560975609756, 0.011261883499841863
16, 0.1, 0.15384615384615385, 0.054029304029304025
17, 0.025, 0.038461538461538464, 0.0011312217194570135
18, 0.1, 0.36363636363636365, 0.13268398268398265
19, 0.25, 0.12345679012345678, 0.039063756870583305
20, 0.1, 0.027777777777777776, 0.007961309523809523
21, 0.05, 0.08, 0.003956043956043956
22, 0.075, 0.05660377358490566, 0.01287143839278894
23, 0.1, 0.08333333333333333, 0.0270343137254902
24, 0.075, 0.057692307692307696, 0.003950484998872096
25, 0.025, 0.030303030303030304, 0.003367003367003367
26, 0.1, 0.07142857142857142, 0.013515651015651015
27, 0.15, 0.05217391304347826, 0.010843124308451142
28, 0.05, 0.03333333333333333, 0.007222222222222223
29, 0.075, 0.0625, 0.024175347222222223
30, 0.325, 0.09701492537313433, 0.04162455848622204
31, 0.05, 0.03278688524590164, 0.0034608378870673953
32, 0.2, 0.06837606837606838, 0.029737407156761996
33, 0.05, 0.1, 0.004836829836829837
34, 0.075, 0.07894736842105263, 0.012688807580448448
35, 0.075, 0.06976744186046512, 0.011135957066189625
36, 0.0, 0.0, 0.0
37, 0.1, 0.1, 0.03884615384615384
38, 0.0, 0.0, 0.0
39, 0.1, 0.2222222222222222, 0.027191358024691355
40, 0.0, 0.0, 0.0
41, 0.025, 0.09090909090909091, 0.006993006993006993
42, 0.2, 0.16, 0.060253034547152196
43, 0.025, 0.07692307692307693, 0.0034965034965034965
44, 0.325, 0.08387096774193549, 0.0414104359692595
45, 0.15, 0.07792207792207792, 0.016196075388829244
46, 0.3, 0.10344827586206896, 0.027203745019637564
47, 0.0, 0.0, 0.0
48, 0.0, 0.0, 0.0
49, 0.1, 0.11764705882352941, 0.027794117647058823
50, 0.525, 0.23595505617977527, 0.1460452902896714
51, 0.0, 0.0, 0.0
52, 0.1, 0.26666666666666666, 0.04256854256854257
53, 0.0, 0.0, 0.0
54, 0.2, 0.1568627450980392, 0.0296263036805136
55, 0.0, 0.0, 0.0
56, 0.1, 0.08888888888888889, 0.010802469135802469
57, 0.175, 0.3888888888888889, 0.06578497107655322
58, 0.15, 0.13043478260869565, 0.02836216300451925
59, 0.0, 0.0, 0.0
60, 0.0, 0.0, 0.0
61, 0.05, 0.18181818181818182, 0.01140819964349376
62, 0.125, 0.4166666666666667, 0.06872549019607845
63, 0.0, 0.0, 0.0
64, 0.0, 0.0, 0.0
65, 0.1, 0.3076923076923077, 0.08276339045569815
66, 0.225, 0.2571428571428571, 0.08390836815206562
67, 0.1, 0.125, 0.016444845477103544
68, 0.0, 0.0, 0.0
69, 0.05, 0.13333333333333333, 0.00985797827903091
70, 0.0, 0.0, 0.0
71, 0.15, 0.2222222222222222, 0.07875382505012134
72, 0.0, 0.0, 0.0
73, 0.0, 0.0, 0.0
74, 0.0, 0.0, 0.0
75, 0.0, 0.0, 0.0
76, 0.225, 0.15, 0.05266555726233145
77, 0.0, 0.0, 0.0
78, 0.0, 0.0, 0.0
79, 0.025, 0.09090909090909091, 0.004329004329004329
80, 0.0, 0.0, 0.0
81, 0.025, 0.09090909090909091, 0.00505050505050505
82, 0.075, 0.3, 0.05357142857142857
83, 0.0, 0.0, 0.0
84, 0.05, 0.18181818181818182, 0.009182736455463728
85, 0.0, 0.0, 0.0
86, 0.0, 0.0, 0.0
87, 0.0, 0.0, 0.0
88, 0.0, 0.0, 0.0
89, 0.0, 0.0, 0.0
90, 0.1, 0.05714285714285714, 0.007701080432172869
91, 0.0, 0.0, 0.0
92, 0.125, 0.13157894736842105, 0.022617733144048933
93, 0.0, 0.0, 0.0
94, 0.0, 0.0, 0.0
95, 0.025, 0.09090909090909091, 0.022727272727272728
96, 0.025, 0.1111111111111111, 0.004273504273504274
97, 0.025, 0.16666666666666666, 0.004273504273504273
98, 0.225, 0.3103448275862069, 0.13676009824835317
99, 0.25, 0.29411764705882354, 0.08423155753877654
100, 0.025, 0.05555555555555555, 0.001736111111111111
101, 0.0, 0.0, 0.0
102, 0.275, 0.4583333333333333, 0.23265261536342463
103, 0.0, 0.0, 0.0
104, 0.075, 0.2727272727272727, 0.03213166144200627
105, 0.0, 0.0, 0.0
106, 0.0, 0.0, 0.0
107, 0.0, 0.0, 0.0
108, 0.0, 0.0, 0.0
109, 0.3, 0.16901408450704225, 0.053379520871375596
110, 0.0, 0.0, 0.0
111, 0.05, 0.3333333333333333, 0.1111111111111111
112, 0.0, 0.0, 0.0
average, 0.08102678571428575, 0.10130053693622745, 0.028673293010107265
