test_collections/cisi/cisi.all
IdeReguler
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.05, 0.043478260869565216, 0.009782608695652175
2, 0.025, 0.038461538461538464, 0.0014245014245014244
3, 0.05, 0.045454545454545456, 0.003945707070707071
4, 0.075, 0.375, 0.02730510752688172
5, 0.025, 0.041666666666666664, 0.001736111111111111
6, 0.025, 1.0, 0.5
7, 0.025, 0.125, 0.0125
8, 0.1, 0.2222222222222222, 0.01782833151254204
9, 0.05, 0.058823529411764705, 0.003998968008255934
10, 0.15, 0.23076923076923078, 0.056297548605240916
11, 0.45, 0.14173228346456693, 0.0921853314066638
12, 0.075, 0.23076923076923078, 0.21153846153846154
13, 0.45, 0.1978021978021978, 0.07608456768501215
14, 0.0, 0.0, 0.0
15, 0.075, 0.036585365853658534, 0.0044835007173601145
16, 0.1, 0.15384615384615385, 0.01428336620644313
17, 0.0, 0.0, 0.0
18, 0.075, 0.2727272727272727, 0.02228882228882229
19, 0.275, 0.13580246913580246, 0.04291708660827864
20, 0.1, 0.027777777777777776, 0.007961309523809523
21, 0.025, 0.04, 0.002
22, 0.075, 0.05660377358490566, 0.01287143839278894
23, 0.1, 0.08333333333333333, 0.02768241419557209
24, 0.05, 0.038461538461538464, 0.002003205128205128
25, 0.025, 0.030303030303030304, 7.575757575757576E-4
26, 0.1, 0.07142857142857142, 0.009481000638241565
27, 0.125, 0.043478260869565216, 0.01080463015245624
28, 0.025, 0.016666666666666666, 8.771929824561403E-4
29, 0.025, 0.020833333333333332, 0.020833333333333332
30, 0.325, 0.09701492537313433, 0.04162455848622204
31, 0.05, 0.03278688524590164, 0.0034608378870673953
32, 0.15, 0.05128205128205128, 0.013390313390313388
33, 0.025, 0.05, 0.001282051282051282
34, 0.075, 0.07894736842105263, 0.01280901116427432
35, 0.075, 0.06976744186046512, 0.009289771835671468
36, 0.0, 0.0, 0.0
37, 0.15, 0.15, 0.0396038961038961
38, 0.0, 0.0, 0.0
39, 0.075, 0.16666666666666666, 0.026900183150183152
40, 0.0, 0.0, 0.0
41, 0.0, 0.0, 0.0
42, 0.125, 0.1, 0.022886473429951693
43, 0.0, 0.0, 0.0
44, 0.25, 0.06451612903225806, 0.032269480651583915
45, 0.125, 0.06493506493506493, 0.007150635722064294
46, 0.175, 0.0603448275862069, 0.010700470193207343
47, 0.0, 0.0, 0.0
48, 0.0, 0.0, 0.0
49, 0.075, 0.08823529411764706, 0.011604053386060308
50, 0.7, 0.3146067415730337, 0.2564933387788813
51, 0.0, 0.0, 0.0
52, 0.025, 0.06666666666666667, 0.0019047619047619048
53, 0.0, 0.0, 0.0
54, 0.125, 0.09803921568627451, 0.010918964806117391
55, 0.0, 0.0, 0.0
56, 0.075, 0.06666666666666667, 0.01215780998389694
57, 0.15, 0.3333333333333333, 0.05171386226941783
58, 0.1, 0.08695652173913043, 0.007431061183921595
59, 0.0, 0.0, 0.0
60, 0.0, 0.0, 0.0
61, 0.025, 0.09090909090909091, 0.0036363636363636364
62, 0.0, 0.0, 0.0
63, 0.0, 0.0, 0.0
64, 0.0, 0.0, 0.0
65, 0.075, 0.23076923076923078, 0.05719921104536489
66, 0.1, 0.11428571428571428, 0.02994513934606101
67, 0.1, 0.125, 0.01594291125541126
68, 0.0, 0.0, 0.0
69, 0.05, 0.13333333333333333, 0.026666666666666665
70, 0.0, 0.0, 0.0
71, 0.15, 0.2222222222222222, 0.08754866532644312
72, 0.0, 0.0, 0.0
73, 0.0, 0.0, 0.0
74, 0.0, 0.0, 0.0
75, 0.0, 0.0, 0.0
76, 0.2, 0.13333333333333333, 0.045511363636363635
77, 0.0, 0.0, 0.0
78, 0.0, 0.0, 0.0
79, 0.05, 0.18181818181818182, 0.03333333333333333
80, 0.0, 0.0, 0.0
81, 0.025, 0.09090909090909091, 0.0027548209366391185
82, 0.1, 0.4, 0.05435916450376962
83, 0.0, 0.0, 0.0
84, 0.0, 0.0, 0.0
85, 0.0, 0.0, 0.0
86, 0.0, 0.0, 0.0
87, 0.0, 0.0, 0.0
88, 0.0, 0.0, 0.0
89, 0.0, 0.0, 0.0
90, 0.1, 0.05714285714285714, 0.00831890331890332
91, 0.0, 0.0, 0.0
92, 0.05, 0.05263157894736842, 0.010087719298245612
93, 0.0, 0.0, 0.0
94, 0.0, 0.0, 0.0
95, 0.05, 0.18181818181818182, 0.018614718614718615
96, 0.0, 0.0, 0.0
97, 0.025, 0.16666666666666666, 0.006410256410256411
98, 0.15, 0.20689655172413793, 0.07935658607477869
99, 0.25, 0.29411764705882354, 0.07336127483527775
100, 0.025, 0.05555555555555555, 0.0030864197530864196
101, 0.0, 0.0, 0.0
102, 0.25, 0.4166666666666667, 0.1490560976872463
103, 0.0, 0.0, 0.0
104, 0.075, 0.2727272727272727, 0.030735930735930738
105, 0.0, 0.0, 0.0
106, 0.0, 0.0, 0.0
107, 0.0, 0.0, 0.0
108, 0.0, 0.0, 0.0
109, 0.25, 0.14084507042253522, 0.045756903183508855
110, 0.0, 0.0, 0.0
111, 0.05, 0.3333333333333333, 0.03361344537815126
112, 0.0, 0.0, 0.0
average, 0.0689732142857143, 0.08679263065216332, 0.02306035313478961
