test_collections/cisi/cisi.all
Pseudo
Query, Precision, Recall, NonInterpolatedAvgPrecision
1, 0.325, 0.2826086956521739, 0.135715291798742
2, 0.05, 0.07692307692307693, 0.0038283475783475783
3, 0.325, 0.29545454545454547, 0.131807073150656
4, 0.0, 0.0, 0.0
5, 0.05, 0.08333333333333333, 0.005608974358974359
6, 0.025, 1.0, 1.0
7, 0.025, 0.125, 0.011363636363636364
8, 0.0, 0.0, 0.0
9, 0.05, 0.058823529411764705, 0.005056759545923632
10, 0.05, 0.07692307692307693, 0.008012820512820512
11, 0.45, 0.14173228346456693, 0.10074225841799472
12, 0.075, 0.23076923076923078, 0.18269230769230768
13, 0.475, 0.2087912087912088, 0.0849542885223403
14, 0.0, 0.0, 0.0
15, 0.15, 0.07317073170731707, 0.012665553872229098
16, 0.125, 0.19230769230769232, 0.03677901046322099
17, 0.025, 0.038461538461538464, 9.615384615384616E-4
18, 0.125, 0.45454545454545453, 0.14664185716817293
19, 0.275, 0.13580246913580246, 0.04430408868680474
20, 0.1, 0.027777777777777776, 0.007961309523809523
21, 0.0, 0.0, 0.0
22, 0.075, 0.05660377358490566, 0.01287143839278894
23, 0.1, 0.08333333333333333, 0.03459429824561403
24, 0.175, 0.1346153846153846, 0.03716769341769342
25, 0.025, 0.030303030303030304, 0.003367003367003367
26, 0.3, 0.21428571428571427, 0.12165851323844332
27, 0.175, 0.06086956521739131, 0.013185931927350692
28, 0.05, 0.03333333333333333, 0.007516339869281045
29, 0.075, 0.0625, 0.017083333333333332
30, 0.325, 0.09701492537313433, 0.04162455848622204
31, 0.05, 0.03278688524590164, 0.0034608378870673953
32, 0.325, 0.1111111111111111, 0.05071888058313397
33, 0.05, 0.1, 0.004415954415954416
34, 0.15, 0.15789473684210525, 0.023647900510167064
35, 0.05, 0.046511627906976744, 0.009391771019677997
36, 0.0, 0.0, 0.0
37, 0.175, 0.175, 0.06220413165266105
38, 0.0, 0.0, 0.0
39, 0.075, 0.16666666666666666, 0.027612433862433863
40, 0.0, 0.0, 0.0
41, 0.025, 0.09090909090909091, 0.006493506493506493
42, 0.2, 0.16, 0.07343543543543543
43, 0.0, 0.0, 0.0
44, 0.425, 0.10967741935483871, 0.0652982636023876
45, 0.25, 0.12987012987012986, 0.0419693872635049
46, 0.225, 0.07758620689655173, 0.029141243095984478
47, 0.0, 0.0, 0.0
48, 0.0, 0.0, 0.0
49, 0.1, 0.11764705882352941, 0.027794117647058823
50, 0.325, 0.14606741573033707, 0.05684392659793739
51, 0.0, 0.0, 0.0
52, 0.1, 0.26666666666666666, 0.04108187134502924
53, 0.0, 0.0, 0.0
54, 0.225, 0.17647058823529413, 0.03903794301621953
55, 0.05, 0.1111111111111111, 0.00625
56, 0.125, 0.1111111111111111, 0.01792929292929293
57, 0.175, 0.3888888888888889, 0.06682118550174104
58, 0.175, 0.15217391304347827, 0.033073116428006484
59, 0.0, 0.0, 0.0
60, 0.0, 0.0, 0.0
61, 0.05, 0.18181818181818182, 0.010732323232323232
62, 0.125, 0.4166666666666667, 0.07154411764705883
63, 0.0, 0.0, 0.0
64, 0.0, 0.0, 0.0
65, 0.1, 0.3076923076923077, 0.08186901665162535
66, 0.275, 0.3142857142857143, 0.1044646571293359
67, 0.1, 0.125, 0.016444845477103544
68, 0.0, 0.0, 0.0
69, 0.05, 0.13333333333333333, 0.010793650793650793
70, 0.0, 0.0, 0.0
71, 0.15, 0.2222222222222222, 0.07906246702542997
72, 0.0, 0.0, 0.0
73, 0.0, 0.0, 0.0
74, 0.0, 0.0, 0.0
75, 0.0, 0.0, 0.0
76, 0.225, 0.15, 0.05340862791919521
77, 0.0, 0.0, 0.0
78, 0.0, 0.0, 0.0
79, 0.0, 0.0, 0.0
80, 0.0, 0.0, 0.0
81, 0.025, 0.09090909090909091, 0.004545454545454546
82, 0.075, 0.3, 0.054154995331465915
83, 0.0, 0.0, 0.0
84, 0.0, 0.0, 0.0
85, 0.0, 0.0, 0.0
86, 0.0, 0.0, 0.0
87, 0.0, 0.0, 0.0
88, 0.0, 0.0, 0.0
89, 0.0, 0.0, 0.0
90, 0.1, 0.05714285714285714, 0.007752009894867037
91, 0.0, 0.0, 0.0
92, 0.15, 0.15789473684210525, 0.02834928229665072
93, 0.0, 0.0, 0.0
94, 0.0, 0.0, 0.0
95, 0.025, 0.09090909090909091, 0.018181818181818184
96, 0.0, 0.0, 0.0
97, 0.0, 0.0, 0.0
98, 0.25, 0.3448275862068966, 0.14414251576424106
99, 0.25, 0.29411764705882354, 0.08642782820390534
100, 0.0, 0.0, 0.0
101, 0.0, 0.0, 0.0
102, 0.275, 0.4583333333333333, 0.23173572133276085
103, 0.0, 0.0, 0.0
104, 0.075, 0.2727272727272727, 0.03445165945165945
105, 0.0, 0.0, 0.0
106, 0.0, 0.0, 0.0
107, 0.0, 0.0, 0.0
108, 0.0, 0.0, 0.0
109, 0.275, 0.15492957746478872, 0.05099910647770521
110, 0.0, 0.0, 0.0
111, 0.05, 0.3333333333333333, 0.1111111111111111
112, 0.0, 0.0, 0.0
average, 0.08839285714285713, 0.10276408290236248, 0.03656211280490902
